drug_name,is_exclusion
litacold jour et nuit,False
litacold jour nuit,False
litacold max nuit,False
litacold nasal,False
litacold nuit,False
litacold nuit max,False
litacold respi,False
litacold rhume,False
litacold rhume jour nuit,False
litacold rhume nuit et jour,False
litacold vaporub bebe,False
litacold vapour,False
litacold vapour rub,False
litacold vapour rub bebe,False
litamol,False
locapred,False
locapred pommad,False
locapred pour cent,False
locatop,False
locatop peitel locapred,False
locoid,False
lodoz,False
lof,True
lofnac,False
lofnac p,False
lolip,False
lomexin,False
lonexin,False
loprost,False
lorinol,False
losofen,False
lovenox,False
loxen,False
loxen a liberation prolongee,False
loxtra,False
loxtra colllyre,False
lubrifiant vaginal man,True
lubrinex,False
ludeal ge,True
lukagen,False
lumirelax,False
lumiskin serum biobalance,True
lutenyl,True
lysoflam,False
lysoflam ou adilpara,False
maalox,False
maalox sach,False
maalox sh,False
macromax,False
macromax azix,False
mag,True
mag 2,True
mag 2,True
mag ii,True
mag marin,True
mag up 24h,True
maglife,True
magne,True
magne denk,True
magnes,True
magnes active,True
magnes active denk,True
magnes denk,True
magnes denk active,True
magnes direct,True
magnes direct denk,True
magnes marin magnesium,True
magnesium biofar,True
magnesium chlorure cpf,True
magnesium marin,True
magnesium ripharma,True
magnesium vit,True
magnoral,True
magnoral ampl,True
malacur,False
maloxine,False
maltofer,True
malva,False
manix lubrifiant,True
marie diallo repousse,True
marimer,True
marimer baby hygiene nasale quotidienne,True
marimer baby rhume rhinopharyngite,True
marimer bebe,True
marimer hygiene,True
marimer hygiene nasale quotidienne,True
marimer hypertonique,True
marimer nasal,True
marimer nasale,True
marimer rhume rhinopharyngite,True
marimer spary nasal,True
masque yafa,True
materiel perf,True
maxiclav,False
maxidrol,False
maxidrol ohpta,False
maxidrol pd,False
maxidrol pmd,False
maxidrol pom ophtalm,False
maxilase,False
maxilase ou equivalent,False
maxillase,False
maximag,True
meben,True
meben gh,True
mebendazole,True
meclon,False
meclon ov,False
mediclav,False
medigesic,False
medrol,False
megacef,False
megacid,False
megalis,True
megamylase,False
megamylase ou equivalent,False
melascreen cencentre,True
melascreen depigmentant,True
melatonine pharma,True
melex,True
melocam,False
meloxicam,False
menactra,False
menactra seringue a insuline,False
menectra,False
menopur,True
mepivacaine,False
mequi gh,False
metagen,False
meteospasmyl,False
meteoxane,False
metformin denk,False
metformine,False
metformine denk,False
metformine gh,False
methotrexate,False
metro,False
metro gh,False
metro mg,False
metronidazole,False
mg plus,True
mg2 plus,True
micozal,False
microgynon fe,True
microlax,True
microlax bebe,True
microval,True
miel,True
migretil,False
minidril,True
minoxidil bailleul p appl cut,True
miorel,False
miorel cprimes,False
miorel cps,False
miso,False
misoclear,False
misoclear mcg,False
misodia,False
mixtard,False
mmetranidazole,True
modopar,False
moken,True
molgam,False
molutrex,True
mometasone arrow,False
mometasone nasale,False
monkast,False
monoprost,False
montec,False
monuril,False
motilium,False
mouche bebe,True
moxifloxe,False
mucogyne,False
mucomyst,False
mucomyst sach,False
mucopain,False
mukestat,False
multical,True
multical sach,True
multivit,True
mumfer,True
muscurel,False
mycocide,False
mycoderme,False
mycoderme t,False
mycolex,False
mycoster,False
mycoster loc,False
mycoster pmd,False
mycoster poudre,False
mycoster pour application cutane,False
mycoster pour application cutanee,False
mycoster ver,False
mycoster vernis,False
mydriaticum,False
mynocine,False
myocalm,False
myoxeril,False
n t tus,False
n.t.tus,False
naabak,False
naaxia,False
nabyol,False
nan-,True
naproxene,False
nasal spray 7 actifs,True
naso gh enft,False
nasoaldo,False
nasoaldo ou nasonex naso gh,False
nasonex,False
nasonex d,False
nasonex doses,False
nasonex ds,False
nasonex nasal,False
nasonex nasale,False
nasonex pn,False
nasonex pulv nas,False
nasonex pulverisation,False
natecal vitamine d3,True
natura gold,True
naturex,False
naturex roll on nan,False
nauselium,False
nausicalm,False
nealgyl,False
nebilong am,False
nebutamol,False
neex,False
nelazox,False
nemozole,False
neo,True
neocip,False
neocodion,False
neofixim,False
neomox,False
neopred,False
neovital,True
nervit,True
netazox,False
netazox disp,False
netazox disper,False
nettoyant yaffa,True
neubutamol,False
neucipro,False
neuclav,False
neuclox,False
neuesome,False
neuesome d,False
neufer,True
neuheptavit,True
neuibu p,False
neulopat,True
neulora,False
neumetro,True
